symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00005000,0.079,0.06343756,0.06341000,0.06347000,4.78520000,0.06346000,44.48820000,0.06347000,63.36840000,0.06342000,0.06369000,0.06324000,12766.46910000,809.87370007,1693914671911,1694001071911,422736736,422758718,21983
LTCBTC,0.00000300,0.123,0.00244797,0.00244400,0.00244700,15.19500000,0.00244700,202.71800000,0.00244800,45.27200000,0.00244400,0.00246000,0.00243400,33783.04100000,82.69991290,1693914664440,1694001064440,93390148,93397294,7147
BNBBTC,0.00000600,0.072,0.00834057,0.00834600,0.00835100,2.44800000,0.00835000,9.70300000,0.00835100,14.82300000,0.00834500,0.00837200,0.00831200,16745.59300000,139.66778874,1693914672276,1694001072276,226821732,226841663,19932
NEOBTC,0.00000080,0.281,0.00029349,0.00028410,0.00028510,0.78000000,0.00028510,250.00000000,0.00028520,57.05000000,0.00028430,0.00031620,0.00027760,138796.61000000,40.73595057,1693914671931,1694001071931,45470945,45483066,12122
QTUMETH,0.00002700,2.075,0.00132719,0.00129700,0.00132800,15.00000000,0.00132100,46.30000000,0.00132800,696.30000000,0.00130100,0.00135600,0.00130100,3057.50000000,4.05787000,1693914489439,1694000889439,5401175,5401310,136
EOSETH,0.00000430,1.206,0.00036092,0.00035590,0.00036080,9.40000000,0.00036080,52.80000000,0.00036180,507.50000000,0.00035650,0.00036270,0.00035650,3666.40000000,1.32326678,1693914670563,1694001070563,23496073,23496187,115
SNTETH,0.00000008,0.613,0.00001310,0.00001305,0.00001313,126.00000000,0.00001308,37703.00000000,0.00001317,510.00000000,0.00001305,0.00001319,0.00001300,151348.00000000,1.98258893,1693914620123,1694001020123,3906039,3906053,15
BNTETH,0.00001010,3.891,0.00026471,0.00026010,0.00026970,29.00000000,0.00027060,226.10000000,0.00027210,29.00000000,0.00025960,0.00027210,0.00025780,17224.90000000,4.55959030,1693914625791,1694001025791,2232357,2232493,137
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573704638,1689660104638,-1,-1,0
GASBTC,-0.00000030,-0.342,0.00008955,0.00008760,0.00008740,77.50000000,0.00008750,37.90000000,0.00008780,80.40000000,0.00008770,0.00009430,0.00008600,408982.90000000,36.62262778,1693914607367,1694001007367,20764913,20777072,12160
